
                       mean       std    median      2.5%     97.5%     n_eff     r_hat
number of divergences is 0
[[292   8]
 [  0 300]]
[[292   8]
 [  2 298]]
LOO


Computed from 4000 posterior samples and 600 observations log-likelihood matrix.

         Estimate       SE
elpd_loo  -125.15    39.67
p_loo       44.67        -

There has been a warning during the calculation. Please check the results.
------

Pareto k diagnostic values:
                         Count   Pct.
(-Inf, 0.5]   (good)       17    2.8%
 (0.5, 0.7]   (ok)          2    0.3%
   (0.7, 1]   (bad)         1    0.2%
   (1, Inf)   (very bad)  580   96.7%

WAIC


Computed from 4000 posterior samples and 600 observations log-likelihood matrix.

          Estimate       SE
elpd_waic  -147.29    53.93
p_waic       66.80        -

There has been a warning during the calculation. Please check the results.
